Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-09-04,629.7,634.5,626.5,628.96,2004598.0,0.0,1.0,629.7,634.5,626.5,628.96,2004598.0
2015-09-03,647.93,651.25,633.8073,637.05,1714929.0,0.0,1.0,647.93,651.25,633.8073,637.05,1714929.0
2015-09-02,638.64,645.0,630.64,644.91,1647629.0,0.0,1.0,638.64,645.0,630.64,644.91,1647629.0
2015-09-01,633.66,644.44,625.06,629.56,2523698.0,0.0,1.0,633.66,644.44,625.06,629.56,2523698.0
2015-08-31,656.26,664.41,646.35,647.82,1946844.0,0.0,1.0,656.26,664.41,646.35,647.82,1946844.0
2015-08-28,665.11,667.0,653.75,659.69,1897554.0,0.0,1.0,665.11,667.0,653.75,659.69,1897554.0
2015-08-27,672.0,673.9799,651.1,667.96,2847568.0,0.0,1.0,672.0,673.9799,651.1,667.96,2847568.0
2015-08-26,643.1,662.48,630.37,659.74,3951871.0,0.0,1.0,643.1,662.48,630.37,659.74,3951871.0
2015-08-25,646.4675,647.0,618.05,626.37,3066632.0,0.0,1.0,646.4675,647.0,618.05,626.37,3066632.0
2015-08-24,600.6,644.33,593.09,620.58,5028042.0,0.0,1.0,600.6,644.33,593.09,620.58,5028042.0
2015-08-21,671.04,672.89,645.5,645.87,3748604.0,0.0,1.0,671.04,672.89,645.5,645.87,3748604.0
2015-08-20,689.1,696.16,675.2801,679.48,2662321.0,0.0,1.0,689.1,696.16,675.2801,679.48,2662321.0
2015-08-19,690.11,700.2,686.8,694.04,2495971.0,0.0,1.0,690.11,700.2,686.8,694.04,2495971.0
2015-08-18,691.07,695.7568,685.32,688.73,1372673.0,0.0,1.0,691.07,695.7568,685.32,688.73,1372673.0
2015-08-17,688.04,694.74,683.06,694.11,1226144.0,0.0,1.0,688.04,694.74,683.06,694.11,1226144.0
2015-08-14,684.04,692.26,682.9,689.37,1370033.0,0.0,1.0,684.04,692.26,682.9,689.37,1370033.0
2015-08-13,689.2,694.03,682.18,686.51,1799804.0,0.0,1.0,689.2,694.03,682.18,686.51,1799804.0
2015-08-12,694.49,696.0,680.51,691.47,2876744.0,0.0,1.0,694.49,696.0,680.51,691.47,2876744.0
2015-08-11,699.58,704.0,684.32,690.3,5245775.0,0.0,1.0,699.58,704.0,684.32,690.3,5245775.0
2015-08-10,667.09,671.62,660.23,663.14,1386410.0,0.0,1.0,667.09,671.62,660.23,663.14,1386410.0
2015-08-07,667.78,668.795,658.87,664.39,1365883.0,0.0,1.0,667.78,668.795,658.87,664.39,1365883.0
2015-08-06,673.99,674.75,660.73,670.15,2004347.0,0.0,1.0,673.99,674.75,660.73,670.15,2004347.0
2015-08-05,665.75,679.91,665.5827,673.29,1812589.0,0.0,1.0,665.75,679.91,665.5827,673.29,1812589.0
2015-08-04,664.34,668.0,660.51,661.28,1290892.0,0.0,1.0,664.34,668.0,660.51,661.28,1290892.0
2015-08-03,657.66,666.67,657.66,664.72,1557354.0,0.0,1.0,657.66,666.67,657.66,664.72,1557354.0
2015-07-31,664.7,664.9999,657.2,657.5,1700175.0,0.0,1.0,664.7,664.9999,657.2,657.5,1700175.0
2015-07-30,657.44,668.05,651.69,664.56,1962926.0,0.0,1.0,657.44,668.05,651.69,664.56,1962926.0
2015-07-29,662.26,663.33,652.84,661.43,1784482.0,0.0,1.0,662.26,663.33,652.84,661.43,1784482.0
