Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-09-04,36.35,36.68,36.09,36.27,13132781.0,0.0,1.0,36.35,36.68,36.09,36.27,13132781.0
2015-09-03,36.81,37.27,36.77,36.9,11735555.0,0.0,1.0,36.81,37.27,36.77,36.9,11735555.0
2015-09-02,36.26,36.75,36.11,36.75,15027339.0,0.0,1.0,36.26,36.75,36.11,36.75,15027339.0
2015-09-01,36.3,36.55,35.89,36.01,19860739.0,0.0,1.0,36.3,36.55,35.89,36.01,19860739.0
2015-08-31,37.35,37.51,36.93,37.09,15352750.0,0.0,1.0,37.35,37.51,36.93,37.09,15352750.0
2015-08-28,36.82,37.495,36.78,37.46,21493941.0,0.0,1.0,36.82,37.495,36.78,37.46,21493941.0
2015-08-27,37.36,37.51,36.0099,36.82,28109202.0,0.0,1.0,37.36,37.51,36.0099,36.82,28109202.0
2015-08-26,36.03,37.02,35.6,36.91,20462699.0,0.0,1.0,36.03,37.02,35.6,36.91,20462699.0
2015-08-25,36.97,37.21,35.38,35.45,21293894.0,0.0,1.0,36.97,37.21,35.38,35.45,21293894.0
2015-08-24,35.73,37.06,35.14,36.375,23482326.0,0.0,1.0,35.73,37.06,35.14,36.375,23482326.0
2015-08-21,38.32,38.77,37.55,37.55,19318899.0,0.0,1.0,38.32,38.77,37.55,37.55,19318899.0
2015-08-20,39.19,39.5,38.6,38.63,12959739.0,0.0,1.0,39.19,39.5,38.6,38.63,12959739.0
2015-08-19,39.7,39.94,39.31,39.53,11094998.0,0.0,1.0,39.7,39.94,39.31,39.53,11094998.0
2015-08-18,39.52,40.03,39.51,39.83,9946171.0,0.0,1.0,39.52,40.03,39.51,39.83,9946171.0
2015-08-17,39.41,39.725,39.09,39.72,7610689.0,0.0,1.0,39.41,39.725,39.09,39.72,7610689.0
2015-08-14,39.33,39.5,39.18,39.41,7184959.0,0.0,1.0,39.33,39.5,39.18,39.41,7184959.0
2015-08-13,39.22,39.56,38.99,39.31,7696539.0,0.0,1.0,39.22,39.56,38.99,39.31,7696539.0
2015-08-12,38.74,39.359,38.5,39.28,11062309.0,0.0,1.0,38.74,39.359,38.5,39.28,11062309.0
2015-08-11,39.53,39.68,39.02,39.17,10570447.0,0.0,1.0,39.53,39.68,39.02,39.17,10570447.0
2015-08-10,39.76,40.045,39.7,39.89,9420918.0,0.0,1.0,39.76,40.045,39.7,39.89,9420918.0
2015-08-07,39.36,39.69,39.23,39.56,10647843.0,0.0,1.0,39.36,39.69,39.23,39.56,10647843.0
2015-08-06,39.63,39.84,39.145,39.32,10610391.0,0.0,1.0,39.63,39.84,39.145,39.32,10610391.0
2015-08-05,39.9,40.02,39.63,39.64,11944864.0,0.0,1.0,39.9,40.02,39.63,39.64,11944864.0
2015-08-04,39.59,40.0,39.525,39.66,9679139.0,0.0,1.0,39.59,40.0,39.525,39.66,9679139.0
2015-08-03,39.95,40.01,39.4605,39.71,12430820.0,0.0,1.0,39.95,40.01,39.4605,39.71,12430820.0
2015-07-31,39.76,40.12,39.7,39.94,13515429.0,0.0,1.0,39.76,40.12,39.7,39.94,13515429.0
2015-07-30,40.03,40.1,39.545,39.65,13604698.0,0.0,1.0,40.03,40.1,39.545,39.65,13604698.0
2015-07-29,39.37,39.87,39.26,39.79,12932745.0,0.0,1.0,39.37,39.87,39.26,39.79,12932745.0
2015-07-28,38.79,39.365,38.44,39.28,14145617.0,0.0,1.0,38.79,39.365,38.44,39.28,14145617.0
2015-07-27,38.72,38.82,38.47,38.51,15731963.0,0.0,1.0,38.72,38.82,38.47,38.51,15731963.0
2015-07-24,39.1,39.17,38.8,39.0,11851705.0,0.0,1.0,39.1,39.17,38.8,39.0,11851705.0
2015-07-23,39.55,39.6,38.96,39.0,17986768.0,0.0,1.0,39.55,39.6,38.96,39.0,17986768.0
2015-07-22,39.36,39.675,39.25,39.42,16789741.0,0.0,1.0,39.36,39.675,39.25,39.42,16789741.0
2015-07-21,39.76,39.985,39.39,39.57,14567868.0,0.0,1.0,39.76,39.985,39.39,39.57,14567868.0
2015-07-20,40.36,40.39,39.87,39.93,17325653.0,0.0,1.0,40.36,40.39,39.87,39.93,17325653.0
2015-07-17,40.75,40.86,40.16,40.4,14417795.0,0.0,1.0,40.75,40.86,40.16,40.4,14417795.0
2015-07-16,41.02,41.02,41.02,40.96,14855229.0,0.0,1.0,41.02,41.02,41.02,40.96,14855229.0
2015-07-15,40.63,40.92,40.63,40.79,9301912.0,0.0,1.0,40.63,40.92,40.63,40.79,9301912.0
2015-07-14,40.81,40.9,40.58,40.78,9280112.0,0.0,1.0,40.81,40.9,40.58,40.78,9280112.0
2015-07-10,40.56,40.65,40.21,40.36,10443637.0,0.0,1.0,40.56,40.65,40.21,40.36,10443637.0
2015-07-09,40.24,40.48,40.15,40.18,13044547.0,0.0,1.0,40.24,40.48,40.15,40.18,13044547.0
2015-07-08,39.9,40.24,39.7,39.77,14578204.0,0.0,1.0,39.9,40.24,39.7,39.77,14578204.0
2015-07-07,40.04,40.27,39.84,40.16,16421323.0,0.0,1.0,40.04,40.27,39.84,40.16,16421323.0
2015-07-06,39.93,40.29,39.77,40.15,12412850.0,0.0,1.0,39.93,40.29,39.77,40.15,12412850.0
2015-07-02,40.38,40.42,40.15,40.36,11586464.0,0.0,1.0,40.38,40.42,40.15,40.36,11586464.0
2015-07-01,40.61,40.7,39.93,40.24,13879487.0,0.0,1.0,40.61,40.7,39.93,40.24,13879487.0
2015-06-30,40.6,40.75,40.11,40.41,13225999.0,0.0,1.0,40.6,40.75,40.11,40.41,13225999.0
2015-06-29,40.63,40.9,40.38,40.42,18113672.0,0.0,1.0,40.63,40.9,40.38,40.42,18113672.0
2015-06-26,41.1,41.37,40.97,41.04,16625434.0,0.0,1.0,41.1,41.37,40.97,41.04,16625434.0
2015-06-25,41.24,41.47,41.055,41.06,13543897.0,0.0,1.0,41.24,41.47,41.055,41.06,13543897.0
2015-06-24,41.54,41.77,41.2,41.2,17689444.0,0.0,1.0,41.54,41.77,41.2,41.2,17689444.0
2015-06-23,41.94,42.06,41.4801,41.71,16803135.0,0.0,1.0,41.94,42.06,41.4801,41.71,16803135.0
2015-06-22,41.8,41.955,41.45,41.49,22333434.0,0.0,1.0,41.8,41.955,41.45,41.49,22333434.0
2015-06-19,42.9,43.1,41.56,41.59,37222834.0,0.0,1.0,42.9,43.1,41.56,41.59,37222834.0
2015-06-18,41.91,42.98,40.97,42.74,79082457.0,0.0,1.0,41.91,42.98,40.97,42.74,79082457.0
2015-06-17,44.86,45.24,44.37,44.91,24543560.0,0.0,1.0,44.86,45.24,44.37,44.91,24543560.0
2015-06-16,43.91,44.88,43.76,44.64,18092467.0,0.0,1.0,43.91,44.88,43.76,44.64,18092467.0
2015-06-15,43.9,43.99,43.41,43.72,16617587.0,0.0,1.0,43.9,43.99,43.41,43.72,16617587.0
2015-06-12,43.98,44.39,43.9,44.34,11742306.0,0.0,1.0,43.98,44.39,43.9,44.34,11742306.0
